"Name","Population","Home Value Growth (YoY)","Home Value","Price Cut %","Days on Market"
"Clarke, IA","9,690","6.1%","$193,366","8.1%","68"
"Beltrami, MN","46,421","3.8%","$258,256","10.8%","54"
"Nelson, ND","3,015","0.7%","$137,496","0.0%","59"
"Swift, MN","9,787","5.5%","$184,880","19.0%","51"
"Stevens, MN","9,686","5.8%","$218,100","12.9%","36"
"Clark, WI","34,736","5.0%","$204,269","19.5%","49"
"Clark, SD","3,876","15.4%","$201,453","0.0%","77"
"O'Brien, IA","14,103","8.3%","$175,514","20.3%","66"
"Monona, IA","8,619","3.4%","$155,243","18.1%","52"
"Wayne, NE","9,786","6.8%","$236,166","15.3%","40"
"Colfax, NE","10,541","5.7%","$216,371","0.0%","78"
"Pierce, ND","3,961","-","-","36.3%","188"
"Pierce, WI","42,351","2.7%","$360,371","18.0%","46"
"Pierce, NE","7,312","2.1%","$235,650","0.0%","154"
"Sherman, NE","2,974","8.1%","$187,324","33.3%","66"
"Mills, IA","14,563","4.0%","$277,889","30.0%","38"
"York, NE","14,231","4.1%","$222,936","24.0%","40"
"Bottineau, ND","6,390","3.8%","$206,113","17.7%","57"
"McIntosh, ND","2,512","-","-","25.0%","38"
"Sioux, IA","35,984","5.3%","$294,433","22.8%","33"
"Sioux, NE","1,197","14.7%","$275,606","0.0%","272"
"Sioux, ND","3,789","-","-","0.0%","2"
"Adams, IA","3,641","8.8%","$158,014","26.6%","110"
"Adams, ND","2,179","0.2%","$138,508","26.6%","59"
"Blaine, MT","6,997","12.1%","$209,523","21.0%","89"
"Blaine, NE","385","-","-","0.0%","342"
"Cherry, NE","5,468","17.4%","$234,173","0.0%","84"
"Richland, WI","17,229","9.7%","$259,647","18.1%","38"
"Richland, ND","16,550","5.1%","$211,442","24.6%","57"
"Richland, MT","11,329","-0.4%","$260,959","10.8%","62"
"Golden Valley, MT","840","12.5%","$201,443","0.0%","168"
"Golden Valley, ND","1,679","4.6%","$169,493","0.0%","26"
"Fallon, MT","2,817","3.4%","$177,331","30.7%","111"
"Dawson, NE","24,020","3.8%","$198,211","9.0%","92"
"Dawson, MT","8,874","1.1%","$184,548","9.3%","88"
"Garfield, NE","1,797","15.1%","$218,246","0.0%","60"
"Garfield, MT","938","21.7%","$261,089","0.0%","166"
"Pennington, MN","13,877","0.5%","$213,420","25.9%","51"
"Pennington, SD","115,903","3.2%","$363,299","19.5%","33"
"Niobrara, WY","2,415","12.7%","$187,100","0.0%","51"
"Johnson, IA","157,528","2.7%","$302,154","12.9%","46"
"Johnson, WY","8,602","6.1%","$400,622","15.0%","58"
"Carbon, WY","14,549","5.2%","$220,027","9.7%","70"
"Carbon, MT","10,877","2.6%","$491,657","14.7%","53"
"Teton, WY","23,358","-2.8%","$2,219,743","6.5%","108"
"Teton, ID","12,101","1.6%","$837,936","11.4%","67"
"Moffat, CO","13,258","3.3%","$296,059","15.0%","80"
"Wood, WI","73,939","7.0%","$220,555","17.3%","33"
"Henry, IA","20,228","3.1%","$177,815","29.6%","51"
"Henry, IL","48,948","2.5%","$159,272","15.3%","45"
"Jo Daviess, IL","21,918","6.7%","$249,559","18.7%","66"
"Mercer, ND","8,341","7.0%","$231,686","20.5%","59"
"Mercer, IL","15,619","-4.2%","$164,293","7.1%","47"
"Knox, NE","8,362","-1.2%","$156,981","24.2%","89"
"Knox, IL","49,294","-1.8%","$104,929","26.3%","40"
"Koochiching, MN","11,950","5.1%","$150,831","0.0%","66"
"Rusk, WI","14,146","2.2%","$201,208","28.5%","48"
"Chippewa, MN","12,388","3.3%","$219,331","16.0%","59"
"Chippewa, WI","66,970","5.5%","$319,854","23.4%","39"
"Isanti, MN","41,934","1.5%","$335,392","16.1%","32"
"Rice, MN","67,948","3.9%","$343,922","18.4%","31"
"Le Sueur, MN","28,936","3.3%","$355,351","17.6%","45"
"Crow Wing, MN","68,304","2.6%","$359,676","19.0%","44"
"Brown, NE","2,739","11.6%","$145,748","33.3%","53"
"Brown, SD","38,079","1.8%","$229,899","29.1%","34"
"Brown, MN","25,826","6.6%","$229,442","13.5%","28"
"Hubbard, MN","21,700","3.9%","$307,063","18.3%","43"
"Allamakee, IA","14,038","6.6%","$234,603","27.9%","40"
"Trempealeau, WI","30,786","6.9%","$267,618","24.3%","55"
"Buchanan, IA","20,645","6.2%","$210,432","19.7%","50"
"Fillmore, MN","21,346","2.3%","$289,500","20.0%","40"
"Bremer, IA","25,118","4.9%","$248,719","22.7%","45"
"Jasper, IA","37,864","4.1%","$216,983","20.0%","37"
"Franklin, ID","14,715","3.1%","$439,576","26.3%","47"
"Franklin, IA","9,977","4.9%","$148,989","8.8%","85"
"Watonwan, MN","11,169","8.6%","$173,588","21.0%","60"
"Carroll, IL","15,621","16.0%","$145,875","24.3%","43"
"Carroll, IA","20,677","5.9%","$199,169","20.2%","56"
"Lucas, IA","8,685","4.7%","$171,528","11.2%","61"
"Clearwater, MN","8,579","11.2%","$243,065","0.0%","44"
"Walsh, ND","10,488","2.7%","$162,488","12.5%","49"
"Codington, SD","28,556","-0.9%","$340,965","22.0%","47"
"Kingsbury, SD","5,210","2.7%","$244,846","20.0%","41"
"Day, SD","5,460","6.7%","$240,777","20.0%","73"
"Ransom, ND","5,662","4.7%","$195,560","25.0%","31"
"Pottawattamie, IA","93,179","4.2%","$230,028","16.8%","29"
"Cherokee, IA","11,587","2.2%","$153,385","17.3%","57"
"Nobles, MN","22,067","3.4%","$230,811","11.2%","55"
"Turner, SD","8,772","10.1%","$302,560","22.8%","23"
"Cedar, IA","18,427","6.3%","$246,045","20.6%","58"
"Cedar, NE","8,344","6.8%","$224,581","18.1%","94"
"Stanton, NE","5,835","2.4%","$251,238","17.3%","67"
"Sanborn, SD","2,370","2.1%","$231,529","0.0%","105"
"Aurora, SD","2,573","-","-","0.0%","172"
"Hall, NE","62,431","5.3%","$256,876","43.7%","54"
"Ward, ND","68,332","4.7%","$269,193","14.9%","33"
"Potter, SD","2,430","8.0%","$227,471","0.0%","69"
"Dewey, SD","5,230","-","-","0.0%","23"
"Stark, ND","33,116","8.8%","$303,266","22.6%","38"
"Dunn, WI","45,349","3.2%","$310,707","13.0%","33"
"Dunn, ND","4,043","5.0%","$357,669","0.0%","39"
"Keith, NE","8,239","3.2%","$225,766","9.6%","119"
"Carter, MT","1,361","12.8%","$171,801","0.0%","246"
"Treasure, MT","761","1.0%","$195,950","0.0%","100"
"Scotts Bluff, NE","35,937","6.1%","$187,766","31.8%","49"
"Kimball, NE","3,348","0.1%","$158,573","9.7%","68"
"Laramie, WY","100,984","3.1%","$378,822","15.7%","38"
"Natrona, WY","79,941","6.1%","$303,054","33.6%","35"
"Hill, MT","16,260","2.3%","$228,548","25.8%","71"
"Judith Basin, MT","2,053","15.6%","$284,909","0.0%","77"
"Hot Springs, WY","4,618","7.0%","$236,291","15.3%","91"
"Lincoln, MN","5,594","5.7%","$203,617","0.0%","66"
"Lincoln, WI","28,403","7.2%","$235,106","20.0%","45"
"Lincoln, SD","73,238","2.7%","$373,657","12.9%","37"
"Lincoln, NE","34,122","4.9%","$210,288","14.8%","42"
"Lincoln, WY","20,158","4.4%","$497,763","14.6%","50"
"Cook, MN","5,633","4.1%","$418,369","10.0%","29"
"Oneida, WI","38,007","5.2%","$312,027","19.4%","44"
"Sauk, WI","65,920","1.6%","$333,625","22.5%","50"
"Jackson, SD","2,826","4.3%","$151,318","0.0%","102"
"Jackson, MN","9,964","7.0%","$216,642","17.7%","37"
"Jackson, CO","1,422","-","-","0.0%","66"
"Jackson, IA","19,429","3.5%","$224,156","17.3%","48"
"Jackson, WI","20,971","5.9%","$222,272","16.0%","44"
"Sawyer, WI","18,243","5.5%","$337,332","14.8%","37"
"Bayfield, WI","16,410","5.4%","$301,068","18.0%","79"
"Washburn, WI","16,749","4.5%","$304,134","27.1%","43"
"Douglas, MN","39,354","3.8%","$338,312","18.4%","31"
"Douglas, NE","589,540","1.3%","$290,602","13.6%","36"
"Douglas, SD","2,823","-","-","80.0%","33"
"Douglas, WI","44,197","5.7%","$248,075","17.7%","32"
"St. Croix, WI","96,763","2.7%","$415,587","20.4%","40"
"Goodhue, MN","47,844","2.6%","$326,099","14.3%","40"
"Washington, IA","22,539","4.6%","$224,359","19.7%","37"
"Washington, NE","20,989","3.8%","$391,931","17.5%","38"
"Washington, MN","278,936","1.2%","$441,440","22.5%","31"
"Mille Lacs, MN","26,912","3.7%","$303,268","25.5%","43"
"Sibley, MN","14,933","1.4%","$282,613","33.3%","31"
"Nicollet, MN","34,350","3.9%","$307,681","26.6%","39"
"Meeker, MN","23,422","3.9%","$288,381","28.5%","38"
"Benton, MN","41,458","3.3%","$301,567","26.0%","35"
"Benton, IA","25,698","4.7%","$263,688","19.2%","52"
"Black Hawk, IA","130,471","4.7%","$186,366","16.1%","44"
"Floyd, IA","15,502","3.9%","$150,995","14.8%","53"
"Story, IA","98,566","3.4%","$270,062","12.9%","43"
"Polk, WI","45,327","3.0%","$328,384","26.2%","30"
"Polk, NE","5,209","7.8%","$210,105","0.0%","44"
"Polk, MN","30,905","4.1%","$234,798","13.5%","37"
"Polk, IA","505,255","2.5%","$282,645","27.8%","45"
"Emmet, IA","9,316","1.8%","$142,439","32.0%","39"
"Audubon, IA","5,622","6.4%","$153,651","9.3%","98"
"Cottonwood, MN","11,458","0.4%","$160,461","12.5%","71"
"Buena Vista, IA","20,684","1.5%","$183,224","23.5%","44"
"Traill, ND","7,980","-0.7%","$207,348","0.0%","34"
"Hamlin, SD","6,288","3.5%","$332,629","15.3%","38"
"Sargent, ND","3,822","1.5%","$183,180","50.0%","169"
"Beadle, SD","19,279","2.6%","$179,926","24.4%","34"
"Ida, IA","6,944","6.0%","$141,756","0.0%","75"
"Burt, NE","6,730","9.0%","$175,792","0.0%","38"
"Cuming, NE","8,976","6.7%","$246,142","18.1%","82"
"Dixon, NE","5,561","-0.8%","$187,767","0.0%","30"
"Clay, IA","16,446","2.5%","$182,168","12.6%","68"
"Clay, MN","66,258","2.6%","$296,128","19.7%","36"
"Clay, SD","15,133","7.9%","$275,840","44.4%","45"
"Lake, MN","10,911","7.1%","$264,472","15.5%","42"
"Lake, SD","11,052","7.4%","$307,160","8.9%","45"
"Hutchinson, SD","7,393","2.4%","$210,153","17.3%","63"
"Howard, IA","9,459","5.6%","$186,562","0.0%","62"
"Howard, NE","6,492","4.3%","$263,994","25.0%","47"
"Jerauld, SD","1,845","-1.1%","$210,597","0.0%","107"
"Seward, NE","17,636","2.8%","$296,611","14.2%","30"
"Buffalo, WI","13,341","3.3%","$249,286","17.3%","46"
"Buffalo, SD","1,757","-","-","0.0%","34"
"Buffalo, NE","50,323","3.3%","$294,587","10.8%","24"
"Benson, ND","5,861","1.5%","$140,783","0.0%","47"
"Morton, ND","33,479","3.6%","$313,627","12.3%","38"
"Custer, MT","11,938","0.5%","$228,900","18.6%","43"
"Custer, SD","8,686","3.6%","$498,092","13.3%","61"
"Custer, NE","10,544","0.7%","$161,967","0.0%","96"
"Tripp, SD","5,607","2.3%","$306,306","0.0%","181"
"Mellette, SD","2,043","-","-","0.0%","68"
"Jones, IA","20,799","3.7%","$222,548","17.0%","42"
"Jones, SD","1,030","-","-","0.0%","102"
"McPherson, SD","2,278","-","-","0.0%","59"
"McPherson, NE","463","18.0%","$352,742","0.0%","5"
"Haakon, SD","1,708","-","-","0.0%","103"
"Sheridan, WY","31,585","5.6%","$423,256","21.8%","52"
"Sheridan, MT","3,677","1.4%","$159,682","25.0%","54"
"Sheridan, ND","1,327","4.8%","$119,899","0.0%","95"
"Sheridan, NE","5,058","3.9%","$127,591","22.2%","77"
"Morrill, NE","4,544","4.8%","$147,181","23.5%","68"
"Butte, SD","10,538","0.2%","$345,450","26.6%","49"
"Lawrence, SD","26,574","1.1%","$450,174","17.5%","59"
"Goshen, WY","12,587","4.8%","$247,083","18.7%","49"
"Phillips, MT","4,224","3.4%","$204,261","0.0%","89"
"Chouteau, MT","5,888","10.5%","$263,550","23.5%","51"
"Big Horn, MT","12,963","4.9%","$206,544","0.0%","51"
"Big Horn, WY","11,737","4.6%","$281,289","9.7%","55"
"Petroleum, MT","401","16.8%","$172,269","0.0%","6"
"Daggett, UT","747","5.1%","$343,155","33.3%","80"
"Weber, UT","271,926","1.9%","$464,230","39.0%","46"
"Davis, UT","373,207","2.6%","$557,391","35.0%","40"
"Waldo, ME","40,006","3.0%","$334,717","20.5%","60"
"Kennebec, ME","127,259","2.8%","$316,486","25.9%","43"
"Grand Isle, VT","7,393","-2.0%","$451,814","26.2%","52"
"Providence, RI","660,615","5.7%","$437,327","10.4%","27"
"Windsor, VT","57,968","-1.2%","$419,631","14.2%","66"
"Fairfield, CT","959,768","2.6%","$658,026","-","-"
"Saratoga, NY","238,711","4.3%","$436,154","10.5%","50"
"Westchester, NY","990,817","4.1%","$811,483","7.6%","33"
"St. Lawrence, NY","106,940","4.5%","$130,176","17.1%","63"
"Orleans, VT","27,492","-1.8%","$282,996","10.0%","39"
"Orleans, NY","39,686","4.0%","$178,950","4.0%","26"
"Elk, PA","30,703","2.0%","$114,574","23.5%","49"
"Chautauqua, NY","124,891","5.7%","$165,214","16.0%","44"
"Venango, PA","50,096","4.7%","$129,273","19.4%","61"
"Armstrong, PA","64,074","0.7%","$150,470","27.6%","54"
"Summit, OH","535,733","4.8%","$216,873","23.1%","35"
"Alpena, MI","28,908","4.6%","$188,226","12.3%","44"
"Ogemaw, MI","20,853","8.6%","$169,798","24.2%","38"
"Cheboygan, MI","25,778","3.4%","$245,859","13.7%","65"
"Grand Traverse, MI","96,421","3.7%","$406,599","22.9%","44"
"Sandusky, OH","58,770","5.1%","$180,103","14.2%","31"
"Lapeer, MI","88,977","2.7%","$295,632","24.1%","43"
"Arenac, MI","15,054","8.8%","$157,877","24.6%","54"
"Bay, MI","102,500","3.4%","$173,165","19.4%","26"
"Gladwin, MI","25,543","3.7%","$177,124","14.2%","35"
"Mecosta, MI","40,321","1.0%","$213,849","23.6%","49"
"LaGrange, IN","40,596","4.1%","$318,158","29.8%","33"
"Elkhart, IN","206,409","4.5%","$249,422","22.2%","34"
"Oceana, MI","26,788","-1.8%","$245,242","23.5%","45"
"Delta, MI","36,829","10.1%","$191,957","18.3%","70"
"Kewaunee, WI","20,621","6.8%","$306,590","21.0%","44"
"Kankakee, IL","105,940","4.1%","$212,314","24.8%","38"
"Kenosha, WI","167,488","5.7%","$312,977","12.9%","26"
"Fond du Lac, WI","103,948","5.5%","$275,029","10.5%","39"
"McHenry, IL","312,800","6.2%","$354,172","14.4%","31"
"Dodge, WI","88,231","6.2%","$303,670","13.7%","36"
"DeKalb, IN","43,584","6.6%","$239,911","18.7%","32"
"DeKalb, IL","100,288","5.8%","$283,689","12.9%","37"
"Dane, WI","575,347","4.4%","$463,352","16.2%","39"
"Aroostook, ME","67,351","-0.9%","$156,098","26.8%","65"
"Penobscot, ME","155,312","4.9%","$270,975","26.4%","43"
"Somerset, ME","50,852","2.8%","$225,142","21.4%","46"
"Rockingham, NH","320,689","3.5%","$603,493","15.4%","36"
"Hillsborough, NH","427,354","4.2%","$503,687","13.9%","24"
"Grafton, NH","93,146","4.5%","$416,020","16.8%","45"
"New London, CT","268,805","5.4%","$397,776","-","-"
"Orange, NY","407,470","4.4%","$444,456","12.4%","44"
"Orange, VT","29,594","-4.7%","$336,736","14.2%","51"
"Hampshire, MA","162,502","4.4%","$435,749","26.4%","19"
"Bergen, NJ","957,736","5.7%","$750,485","13.3%","24"
"Greene, NY","47,554","2.3%","$347,278","12.3%","74"
"Chenango, NY","46,685","3.2%","$143,875","18.3%","63"
"Oswego, NY","118,162","5.9%","$182,976","11.6%","41"
"Cayuga, NY","74,485","4.4%","$213,448","15.6%","37"
"Allegany, NY","47,027","7.7%","$122,695","13.7%","45"
"Passaic, NJ","513,395","6.2%","$576,773","9.7%","23"
"Carbon, PA","65,458","4.3%","$266,687","20.8%","58"
"Mercer, PA","108,503","3.2%","$171,814","17.0%","63"
"Clarion, PA","37,297","11.5%","$138,863","12.1%","49"
"Ashland, OH","52,296","6.0%","$226,616","23.9%","25"
"Richland, OH","125,064","5.5%","$182,880","27.3%","37"
"Antrim, MI","23,876","4.6%","$340,684","23.2%","37"
"Missaukee, MI","15,156","0.1%","$232,600","31.3%","45"
"Shiawassee, MI","68,025","1.5%","$204,595","14.0%","42"
"Paulding, OH","18,800","3.7%","$148,560","33.3%","59"
"Eaton, MI","108,820","3.0%","$256,962","21.5%","34"
"Osceola, MI","23,122","5.3%","$188,502","25.6%","49"
"Van Buren, MI","75,798","1.5%","$260,527","26.8%","47"
"LaPorte, IN","111,706","5.5%","$246,271","20.9%","47"
"Huntington, IN","36,757","4.9%","$200,416","27.4%","40"
"Wabash, IN","30,901","6.5%","$183,427","17.5%","32"
"Door, WI","30,279","6.7%","$422,458","8.8%","75"
"Waupaca, WI","51,714","6.9%","$270,399","16.6%","32"
"Manitowoc, WI","81,331","8.1%","$251,608","9.7%","33"
"Calumet, WI","52,626","5.6%","$359,967","9.3%","36"
"Waukesha, WI","412,591","4.2%","$479,931","12.6%","27"
"Kendall, IL","139,976","6.2%","$386,213","14.2%","29"
"Green, WI","37,036","5.4%","$328,333","4.0%","86"
"Newton, IN","13,859","5.2%","$219,268","35.0%","75"
"Iroquois, IL","26,746","6.0%","$147,510","27.1%","51"
"LaSalle, IL","108,309","4.6%","$181,396","23.6%","44"
"Sagadahoc, ME","37,093","2.1%","$428,350","23.2%","38"
"Cumberland, ME","310,230","0.9%","$558,944","26.4%","32"
"Barnstable, MA","231,735","2.7%","$754,605","22.0%","46"
"Norfolk, MA","727,473","2.7%","$773,227","31.0%","23"
"Strafford, NH","133,243","5.1%","$488,587","15.2%","26"
"Coos, NH","31,386","5.8%","$249,419","19.7%","65"
"Belknap, NH","65,027","4.4%","$481,894","26.2%","36"
"Cheshire, NH","77,703","5.9%","$374,548","21.9%","37"
"Tolland, CT","150,293","4.8%","$386,011","-","-"
"Hartford, CT","896,854","5.0%","$368,524","-","-"
"Albany, NY","316,659","4.7%","$348,637","8.6%","33"
"Hamilton, NY","5,102","3.3%","$263,982","20.0%","73"
"Madison, NY","66,921","9.2%","$232,063","9.8%","32"
"Broome, NY","196,077","5.3%","$181,611","11.4%","34"
"Cortland, NY","46,401","4.2%","$184,975","19.8%","43"
"Bradford, PA","59,971","4.4%","$199,167","15.6%","39"
"Sullivan, NY","79,920","5.3%","$303,936","18.4%","50"
"Sullivan, NH","43,529","5.1%","$377,951","15.6%","32"
"Sullivan, PA","5,849","2.5%","$194,298","12.9%","51"
"Cattaraugus, NY","75,600","4.1%","$151,579","12.3%","62"
"Ashtabula, OH","96,845","7.7%","$168,506","25.3%","42"
"Cuyahoga, OH","1,233,088","5.4%","$209,901","20.2%","40"
"Medina, OH","184,042","5.2%","$339,118","19.9%","32"
"Mahoning, OH","225,596","7.6%","$165,265","22.8%","50"
"Roscommon, MI","23,639","3.7%","$184,308","31.8%","38"
"Benzie, MI","18,177","3.3%","$398,072","15.3%","37"
"Manistee, MI","25,247","3.4%","$247,763","18.3%","50"
"Schoolcraft, MI","8,093","1.2%","$183,086","22.2%","36"
"St. Clair, MI","159,874","2.7%","$249,889","22.9%","38"
"Hillsdale, MI","45,658","2.7%","$196,382","23.9%","55"
"Calhoun, MI","133,366","3.7%","$178,179","25.5%","43"
"Montcalm, MI","68,154","0.8%","$223,226","20.0%","34"
"Ionia, MI","66,262","3.1%","$244,043","16.1%","32"
"Newaygo, MI","50,414","2.1%","$244,202","37.1%","38"
"Berrien, MI","152,261","1.1%","$262,626","20.3%","44"
"Keweenaw, MI","2,106","5.6%","$194,948","0.0%","58"
"Florence, WI","4,617","5.3%","$193,875","0.0%","15"
"Langlade, WI","19,473","6.9%","$216,331","16.2%","34"
"Racine, WI","196,613","5.8%","$299,676","15.5%","30"
"Boone, IL","53,316","8.0%","$268,653","15.5%","36"
"Bureau, IL","33,027","4.3%","$137,796","23.2%","44"
"Piscataquis, ME","17,125","6.2%","$226,007","23.5%","74"
"Caledonia, VT","30,425","-3.8%","$294,252","16.1%","58"
"Lamoille, VT","26,036","-3.5%","$497,313","20.0%","59"
"Merrimack, NH","157,103","5.2%","$474,955","16.6%","26"
"Dutchess, NY","297,150","5.6%","$464,128","13.4%","39"
"Ulster, NY","182,333","4.4%","$421,779","16.2%","45"
"Herkimer, NY","59,932","5.9%","$182,931","11.5%","50"
"Lewis, NY","26,618","4.3%","$178,334","26.0%","71"
"Lackawanna, PA","216,123","9.1%","$230,164","24.7%","47"
"Lycoming, PA","112,724","3.1%","$222,967","34.1%","42"
"Chemung, NY","81,325","2.6%","$146,666","11.4%","24"
"Schuyler, NY","17,749","3.8%","$221,739","16.6%","47"
"Tioga, NY","48,106","4.9%","$183,458","13.1%","31"
"Tioga, PA","41,078","3.7%","$205,035","11.6%","75"
"Sussex, NJ","146,132","5.3%","$435,874","12.1%","31"
"Centre, PA","157,795","3.1%","$345,067","18.6%","33"
"McKean, PA","40,149","1.6%","$107,375","16.6%","74"
"Niagara, NY","209,457","4.6%","$231,647","14.1%","38"
"Forest, WI","9,261","2.0%","$207,990","7.4%","38"
"Forest, PA","6,785","0.5%","$119,386","12.5%","91"
"Clearfield, PA","77,090","1.6%","$131,954","14.5%","46"
"Butler, PA","198,413","2.4%","$332,151","23.7%","37"
"Lawrence, PA","84,472","2.8%","$149,764","19.5%","65"
"Leelanau, MI","22,607","2.7%","$625,806","18.1%","32"
"Erie, NY","946,147","4.0%","$281,070","8.2%","26"
"Erie, PA","267,571","6.1%","$205,227","14.4%","36"
"Erie, OH","74,035","7.6%","$227,396","24.1%","43"
"Oakland, MI","1,270,426","3.1%","$361,826","18.7%","31"
"Lucas, OH","425,484","5.3%","$166,710","17.5%","32"
"Washtenaw, MI","365,536","2.6%","$414,518","16.8%","32"
"Livingston, NY","61,588","7.3%","$231,459","11.4%","21"
"Livingston, IL","35,659","5.6%","$149,509","27.5%","39"
"Livingston, MI","196,757","3.5%","$390,971","20.3%","30"
"Saginaw, MI","187,782","4.0%","$163,063","23.7%","44"
"Jackson, MI","159,424","2.9%","$216,271","21.0%","37"
"Ingham, MI","284,637","6.2%","$218,472","15.5%","33"
"Clare, MI","31,109","5.3%","$146,739","17.5%","45"
"Steuben, NY","92,162","2.7%","$158,794","13.4%","66"
"Steuben, IN","34,648","4.9%","$304,599","27.5%","50"
"Allegan, MI","121,939","4.4%","$328,433","19.9%","41"
"Cass, MI","51,606","2.2%","$258,814","35.0%","52"
"Wyandot, OH","21,699","2.8%","$182,285","26.0%","58"
"Brown, WI","271,417","6.2%","$341,843","12.1%","46"
"Houghton, MI","37,428","5.2%","$177,861","28.2%","31"
"Porter, IN","175,335","2.7%","$325,798","21.7%","45"
"Will, IL","700,728","4.1%","$365,345","15.6%","30"
"Adams, WI","20,928","8.2%","$245,841","29.0%","50"
"Ford, IL","13,396","5.1%","$145,878","11.7%","59"
"Hancock, OH","74,704","3.7%","$231,961","20.0%","33"
"Hancock, ME","56,084","1.7%","$414,791","19.1%","66"
"Newport, RI","83,832","4.9%","$746,278","12.7%","38"
"Worcester, MA","866,866","4.4%","$490,280","27.6%","23"
"Windham, CT","116,418","6.5%","$355,106","-","-"
"Windham, VT","45,913","-2.9%","$383,358","7.2%","72"
"Addison, VT","37,497","-0.8%","$436,596","13.1%","51"
"Bennington, VT","37,312","-3.9%","$381,421","7.3%","60"
"Delaware, NY","44,551","6.6%","$235,060","10.2%","58"
"Pike, PA","59,691","6.3%","$300,046","20.4%","50"
"Wyoming, NY","39,980","3.9%","$189,073","4.8%","18"
"Wyoming, PA","26,075","5.7%","$228,268","5.7%","48"
"Yates, NY","24,637","8.8%","$299,205","5.7%","36"
"Ontario, NY","112,494","5.3%","$299,046","6.4%","43"
"Potter, PA","16,276","0.2%","$153,190","17.0%","80"
"Morris, NJ","514,423","4.9%","$693,114","9.5%","23"
"Warren, PA","38,174","-2.3%","$130,067","14.5%","63"
"Warren, NY","65,380","2.3%","$349,453","18.4%","41"
"Warren, NJ","111,252","4.4%","$418,170","12.8%","36"
"Northumberland, PA","90,120","13.2%","$156,299","20.2%","44"
"Oscoda, MI","8,338","3.5%","$150,950","13.5%","72"
"Mackinac, MI","10,865","7.7%","$218,686","14.0%","44"
"Emmet, MI","34,159","0.0%","$419,386","20.0%","64"
"Sanilac, MI","40,574","1.2%","$214,937","21.5%","60"
"Lenawee, MI","97,520","-0.2%","$237,158","21.7%","39"
"Defiance, OH","38,258","7.5%","$179,272","13.9%","31"
"Williams, OH","36,862","4.7%","$171,571","33.6%","37"
"Branch, MI","44,914","-1.7%","$198,800","27.9%","45"
"Noble, IN","47,417","5.7%","$239,534","35.6%","49"
"St. Joseph, IN","272,848","4.8%","$216,614","23.2%","40"
"St. Joseph, MI","60,870","1.9%","$202,181","28.1%","43"
"Kalamazoo, MI","262,215","2.6%","$268,970","18.6%","35"
"Muskegon, MI","176,564","3.3%","$236,182","21.2%","39"
"Van Wert, OH","28,824","5.7%","$177,101","18.1%","44"
"Miami, IN","35,772","5.8%","$149,493","30.0%","49"
"Marinette, WI","41,907","6.8%","$205,450","18.9%","39"
"Shawano, WI","40,927","8.1%","$263,226","11.1%","25"
"Iron, MI","11,650","10.8%","$130,206","19.7%","47"
"Kane, IL","514,982","5.4%","$364,275","12.7%","28"
"Grundy, IL","52,920","4.3%","$310,532","14.8%","36"
"Winnebago, IL","280,922","8.3%","$191,595","13.4%","34"
"Winnebago, WI","171,735","6.5%","$291,197","16.4%","32"
"Green Lake, WI","19,165","5.4%","$282,589","19.4%","43"
"Jasper, IN","33,198","6.0%","$286,118","18.6%","57"
"Marshall, IN","46,225","3.1%","$248,265","20.2%","33"
"Marshall, IL","11,715","4.0%","$134,801","10.2%","48"
"Lincoln, ME","35,840","1.9%","$444,720","17.1%","51"
"Androscoggin, ME","113,765","2.3%","$325,566","25.8%","25"
"York, ME","218,586","2.4%","$518,950","22.7%","45"
"Rutland, VT","60,484","-0.9%","$314,330","16.1%","60"
"Litchfield, CT","185,000","4.6%","$410,685","-","-"
"Rensselaer, NY","159,305","5.2%","$302,830","10.4%","44"
"Montgomery, NY","49,461","4.6%","$195,898","16.9%","45"
"Tompkins, NY","103,558","4.7%","$342,924","13.5%","39"
"Montour, PA","18,079","2.2%","$266,491","16.6%","44"
"Portage, WI","71,024","6.5%","$303,462","18.0%","30"
"Portage, OH","162,665","6.2%","$267,466","18.4%","36"
"Alcona, MI","10,310","8.5%","$192,123","8.6%","42"
"Presque Isle, MI","13,142","7.8%","$211,593","22.2%","67"
"Montmorency, MI","9,372","8.5%","$181,802","14.2%","51"
"Wexford, MI","33,868","6.9%","$231,982","27.0%","45"
"Midland, MI","84,039","3.9%","$241,718","19.4%","32"
"Clinton, PA","37,707","3.5%","$189,398","29.6%","44"
"Clinton, NY","78,115","3.8%","$207,937","22.7%","62"
"Clinton, MI","79,720","5.1%","$307,298","20.8%","46"
"Isabella, MI","64,475","0.6%","$221,851","24.3%","42"
"Whitley, IN","34,388","4.3%","$271,830","17.7%","31"
"Lake, OH","231,640","5.1%","$238,841","23.1%","35"
"Lake, IN","500,598","1.9%","$244,847","27.5%","41"
"Lake, IL","708,760","5.8%","$376,176","15.4%","29"
"Lake, MI","12,393","3.1%","$150,154","19.0%","53"
"Mason, MI","29,177","0.5%","$255,481","14.2%","49"
"Starke, IN","23,300","5.8%","$208,873","30.4%","55"
"Crawford, MI","13,271","3.9%","$169,002","18.7%","33"
"Crawford, PA","82,001","6.0%","$161,991","21.0%","47"
"Crawford, OH","41,767","4.5%","$151,131","28.7%","47"
"Dickinson, MI","25,940","6.7%","$173,019","21.9%","48"
"Outagamie, WI","193,234","5.9%","$329,029","10.3%","30"
